pid,mu,alpha,sigma,cost,bonus_rate,n_comprehension,bonus,total_time,params,start_time,browser,version,gender,age,education,wage,pass_check1,pass_check2,pass_instruct1,pass_instruct2,pass_instruct3,instruct_time
2400,0,3.1622776601683813,150,1,0.002,3.0,3.5439999999999996,623690.0,"{u'mu': 0, u'alpha': 3.162277660168381, u'n_dominating': 3, u'sigma': 150, u'n_trial': 20, u'cost': 1, u'bonus_rate': 0.002, u'n_comprehension': 3}",2020-01-30T17:39:18.099Z,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.130 Safari/537.36",1.0,male,50,grad,12,1.0,1.0,1.0,1.0,1.0,5.0525166666666665
299,0,0.10000000000000002,75,1,0.002,3.0,3.948,641851.0,"{u'mu': 0, u'alpha': 0.10000000000000002, u'n_dominating': 3, u'sigma': 75, u'n_trial': 20, u'cost': 1, u'bonus_rate': 0.002, u'n_comprehension': 3}",2020-01-30T18:16:32.559Z,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.88 Safari/537.36",1.0,male,46,college,.10,1.0,1.0,1.0,1.0,1.0,6.396466666666667
358,0,1.0000000000000004,75,2,0.002,3.0,1.706,1083166.0,"{u'mu': 0, u'alpha': 1.0000000000000004, u'n_dominating': 3, u'sigma': 75, u'n_trial': 20, u'cost': 2, u'bonus_rate': 0.002, u'n_comprehension': 3}",2020-01-30T18:14:04.767Z,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.130 Safari/537.36",1.0,female,43,college,1.50,1.0,1.0,1.0,1.0,1.0,10.37265
2379,0,1.0000000000000004,150,0,0.002,3.0,5.59,733882.0,"{u'mu': 0, u'alpha': 1.0000000000000004, u'n_dominating': 3, u'sigma': 150, u'n_trial': 20, u'cost': 0, u'bonus_rate': 0.002, u'n_comprehension': 3}",2020-01-30T17:39:20.622Z,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:72.0) Gecko/20100101 Firefox/72.0,1.0,male,34,college,9,1.0,1.0,0.6666666666666666,1.0,1.0,5.432833333333333
490,0,1.0000000000000004,75,2,0.002,3.0,1.334,204110.0,"{u'mu': 0, u'alpha': 1.0000000000000004, u'n_dominating': 3, u'sigma': 75, u'n_trial': 20, u'cost': 2, u'bonus_rate': 0.002, u'n_comprehension': 3}",2020-01-30T18:39:12.464Z,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.78 Safari/537.36",1.0,female,35,college,2,1.0,1.0,0.0,1.0,1.0,2.1311833333333334
3003,0,10.000000000000009,150,0,0.002,3.0,4.138,901278.0,"{u'mu': 0, u'alpha': 10.000000000000007, u'n_dominating': 3, u'sigma': 150, u'n_trial': 20, u'cost': 0, u'bonus_rate': 0.002, u'n_comprehension': 3}",2020-01-30T16:03:09.320Z,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.130 Safari/537.36",1.0,male,44,college,6,1.0,1.0,1.0,1.0,1.0,7.997633333333333
1797,0,3.1622776601683813,75,1,0.002,3.0,0.888,515938.0,"{u'mu': 0, u'alpha': 3.162277660168381, u'n_dominating': 3, u'sigma': 75, u'n_trial': 20, u'cost': 1, u'bonus_rate': 0.002, u'n_comprehension': 3}",2020-01-30T16:03:17.884Z,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.130 Safari/537.36",1.0,male,25,secondary,6,1.0,1.0,1.0,0.6666666666666666,0.6666666666666666,7.229816666666666
2557,0,0.31622776601683805,150,1,0.002,3.0,5.2940000000000005,453508.0,"{u'mu': 0, u'alpha': 0.31622776601683805, u'n_dominating': 3, u'sigma': 150, u'n_trial': 20, u'cost': 1, u'bonus_rate': 0.002, u'n_comprehension': 3}",2020-01-30T16:19:59.932Z,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:72.0) Gecko/20100101 Firefox/72.0,1.0,male,41,college,12,1.0,1.0,1.0,1.0,1.0,4.9832833333333335
2332,0,10.000000000000009,150,2,0.002,3.0,5.164,949847.0,"{u'mu': 0, u'alpha': 10.000000000000007, u'n_dominating': 3, u'sigma': 150, u'n_trial': 20, u'cost': 2, u'bonus_rate': 0.002, u'n_comprehension': 3}",2020-01-30T17:55:24.225Z,"Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.130 Safari/537.36",1.0,male,36,college,6,1.0,1.0,1.0,1.0,0.6666666666666666,6.595016666666667
1647,0,0.10000000000000002,150,0,0.002,3.0,6.406000000000001,360737.0,"{u'mu': 0, u'alpha': 0.10000000000000002, u'n_dominating': 3, u'sigma': 150, u'n_trial': 20, u'cost': 0, u'bonus_rate': 0.002, u'n_comprehension': 3}",2020-01-30T17:55:35.784Z,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.130 Safari/537.36",1.0,female,32,college,7,1.0,1.0,0.3333333333333333,1.0,0.0,3.437133333333333
2929,0,3.1622776601683813,75,4,0.002,3.0,0.7040000000000001,670881.0,"{u'mu': 0, u'alpha': 3.162277660168381, u'n_dominating': 3, u'sigma': 75, u'n_trial': 20, u'cost': 4, u'bonus_rate': 0.002, u'n_comprehension': 3}",2020-01-30T18:23:33.393Z,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:72.0) Gecko/20100101 Firefox/72.0,1.0,male,27,secondary,6,1.0,1.0,1.0,1.0,1.0,8.5217
1296,0,0.31622776601683805,75,4,0.002,3.0,1.774,485378.0,"{u'mu': 0, u'alpha': 0.31622776601683805, u'n_dominating': 3, u'sigma': 75, u'n_trial': 20, u'cost': 4, u'bonus_rate': 0.002, u'n_comprehension': 3}",2020-01-30T16:22:34.156Z,"Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.130 Safari/537.36",1.0,female,39,secondary,4,1.0,1.0,1.0,1.0,1.0,4.890916666666667
707,0,1.0000000000000004,150,4,0.002,3.0,5.5520000000000005,509080.0,"{u'mu': 0, u'alpha': 1.0000000000000004, u'n_dominating': 3, u'sigma': 150, u'n_trial': 20, u'cost': 4, u'bonus_rate': 0.002, u'n_comprehension': 3}",2020-01-30T16:19:42.771Z,"Mozilla/5.0 (X11; CrOS x86_64 12607.81.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.119 Safari/537.36",1.0,male,26,college,6,1.0,1.0,1.0,1.0,1.0,3.6629833333333335
296,0,1.0000000000000004,150,2,0.002,3.0,5.682,769483.0,"{u'mu': 0, u'alpha': 1.0000000000000004, u'n_dominating': 3, u'sigma': 150, u'n_trial': 20, u'cost': 2, u'bonus_rate': 0.002, u'n_comprehension': 3}",2020-01-30T15:23:00.969Z,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.130 Safari/537.36",1.0,female,58,college,6,1.0,1.0,1.0,1.0,1.0,7.6478
954,0,3.1622776601683813,150,0,0.002,3.0,4.803999999999999,491588.0,"{u'mu': 0, u'alpha': 3.162277660168381, u'n_dominating': 3, u'sigma': 150, u'n_trial': 20, u'cost': 0, u'bonus_rate': 0.002, u'n_comprehension': 3}",2020-01-30T15:23:48.950Z,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.130 Safari/537.36",1.0,female,37,secondary,15,1.0,1.0,1.0,1.0,1.0,4.18445
632,0,0.10000000000000002,75,1,0.002,3.0,3.47,447954.0,"{u'mu': 0, u'alpha': 0.10000000000000002, u'n_dominating': 3, u'sigma': 75, u'n_trial': 20, u'cost': 1, u'bonus_rate': 0.002, u'n_comprehension': 3}",2020-01-30T16:21:19.251Z,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Ubuntu Chromium/79.0.3945.79 Chrome/79.0.3945.79 Safari/537.36",1.0,male,31,college,7,1.0,1.0,1.0,1.0,1.0,4.476783333333334
2758,0,3.1622776601683813,150,8,0.002,3.0,0.0,302442.0,"{u'mu': 0, u'alpha': 3.162277660168381, u'n_dominating': 3, u'sigma': 150, u'n_trial': 20, u'cost': 8, u'bonus_rate': 0.002, u'n_comprehension': 3}",2020-01-30T15:27:45.833Z,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.130 Safari/537.36",1.0,female,30,secondary,12,1.0,1.0,1.0,1.0,1.0,3.8894
1321,0,0.31622776601683805,150,8,0.002,3.0,5.888,362551.0,"{u'mu': 0, u'alpha': 0.31622776601683805, u'n_dominating': 3, u'sigma': 150, u'n_trial': 20, u'cost': 8, u'bonus_rate': 0.002, u'n_comprehension': 3}",2020-01-30T16:04:28.317Z,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.130 Safari/537.36",1.0,female,44,college,13,1.0,1.0,1.0,1.0,0.6666666666666666,2.514666666666667
2500,0,0.31622776601683805,150,4,0.002,3.0,6.848,502972.0,"{u'mu': 0, u'alpha': 0.31622776601683805, u'n_dominating': 3, u'sigma': 150, u'n_trial': 20, u'cost': 4, u'bonus_rate': 0.002, u'n_comprehension': 3}",2020-01-30T15:24:28.051Z,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.130 Safari/537.36",1.0,male,35,grad,7,1.0,1.0,1.0,1.0,0.6666666666666666,5.102116666666666
