pid,time_elapsed,trial_type,rt,payoff_matrix,cost,click_cost,choice_index,clicks,payoff_value,probabilities,net_payoff,payoff_index,click_times,answers,correct,block,trial_index
6,284106,mouselab,5838.0,"[[2, 88, -81, -68, -69, -20], [75, 44, 2, -67, -177, 78], [106, 39, 49, -49, 99, -9], [99, 65, 57, 6, -18, 53]]",2,4,0,"[12, 13]",106,"[0.12, 0.01, 0.85, 0.02]",102,2,"[2304, 4215]",,,test,1
6,296723,mouselab,10896.0,"[[43, 6, 10, 64, 4, 0], [-88, 30, -65, -30, -84, -10], [6, 51, -15, 10, -22, -26], [4, -118, 14, -27, 46, 28]]",2,12,4,"[18, 19, 21, 22, 23, 20]",-84,"[0.02, 0.41, 0.02, 0.55]",-96,1,"[2908, 4437, 5512, 6724, 8046, 9350]",,,test,2
6,309911,mouselab,11746.0,"[[126, -22, 4, 33, -77, -13], [61, -111, 19, -3, 25, 14], [-120, -94, -74, 2, -11, -74], [33, 74, -30, 62, 39, -55]]",2,12,3,"[12, 13, 14, 15, 16, 17]",2,"[0.07999999999999999, 0.21, 0.54, 0.17]",-10,2,"[2192, 2954, 3827, 4674, 5442, 6033]",,,test,3
6,319524,mouselab,7355.0,"[[70, 21, 78, 14, -68, -76], [-35, -191, -49, -5, -73, 26], [-25, -1, 82, 80, 211, 12], [-62, -67, 105, 21, -66, -50]]",2,12,2,"[0, 1, 2, 3, 4, 5]",78,"[0.71, 0.27, 0.01, 0.01]",66,0,"[2448, 3540, 4200, 4907, 5521, 6051]",,,test,4
6,350198,mouselab,27376.0,"[[-67, 64, 23, 23, -111, -123], [17, -51, -23, -1, 14, 46], [-23, 111, 64, 60, -93, -33], [4, 160, -41, -13, 60, -112]]",2,24,3,"[6, 0, 7, 8, 9, 10, 4, 11, 5, 1, 2, 3]",23,"[0.4, 0.42, 0.08, 0.1]",-1,0,"[3433, 5489, 7332, 9537, 10343, 11010, 12439, 13291, 14912, 16908, 18958, 19572]",,,test,5
6,358845,mouselab,6514.0,"[[-20, 36, 41, 36, -10, -74], [93, -124, 101, 100, -22, -27], [14, -74, 208, -53, 111, 10], [28, 0, 8, -33, -9, 71]]",2,4,0,"[6, 18]",-20,"[0.1999999999999999, 0.4, 0.01, 0.39]",-24,0,"[3563, 4646]",,,test,6
6,366967,mouselab,5657.0,"[[64, 100, -77, 1, -31, 22], [-109, -58, 133, -29, -12, 73], [27, -57, 107, 18, -2, -10], [81, 41, 5, 10, -60, 203]]",2,2,0,[0],64,"[0.49, 0.24, 0.02, 0.25]",62,0,[2563],,,test,7
6,379170,mouselab,10453.0,"[[15, -81, 3, 56, -91, -27], [91, -12, 51, 48, -53, -78], [-36, 17, -37, 12, 51, -40], [-16, -45, 33, 60, 42, 117]]",2,10,3,"[18, 19, 20, 21, 3]",56,"[0.31, 0.25, 0.05, 0.39]",46,0,"[2572, 3317, 4331, 5859, 9230]",,,test,8
6,388076,mouselab,7010.0,"[[-20, -5, -68, 26, 6, -90], [42, -87, 18, -41, 124, 74], [-22, -130, 19, 7, 40, 25], [83, -3, -31, 49, 60, -1]]",2,12,3,"[0, 1, 2, 3, 4, 5]",26,"[0.8999999999999999, 0.04, 0.01, 0.05]",14,0,"[2363, 3108, 3761, 4421, 5433, 5995]",,,test,9
13,62057,mouselab,39475.0,"[[-130, -193, -59, 52, -31, 68], [21, -80, 189, 49, 45, -101], [-7, -78, 29, -19, -15, -22], [87, -81, 172, 176, 49, 101]]",2,0,0,[],87,"[0.2, 0.2, 0.1, 0.5]",87,3,[],,,instruct1,0
