pid,time_elapsed,trial_type,probabilities,click_cost,payoff_value,payoff_matrix,choice_index,payoff_index,cost,clicks,net_payoff,block,trial_index
9,77753,mouselab,"[0.41, 0.18, 0.28, 0.13]",2,76,"[[71, -2, 55, 34, -53, -159], [76, 49, 7, 82, 89, -18], [-206, -62, -41, 5, 125, 152], [-60, -14, -42, 131, -29, -22]]",0,1,1,"[0, 13]",74,instruct3,0
9,90188,mouselab,"[0.14, 0.38, 0.31, 0.17]",4,71,"[[61, 28, 84, 95, -9, 31], [-2, -12, 148, -26, -107, -13], [-3, -69, -61, 71, 165, 26], [-29, -81, 111, 126, -110, 93]]",3,2,1,"[1, 7, 12, 18]",67,instruct3,1
9,103957,mouselab,"[0.38, 0.38, 0.11, 0.13]",7,72,"[[151, 53, -158, -31, 56, 101], [193, 169, 170, -29, -50, -144], [-72, 72, -3, 35, -73, -133], [-54, 57, -42, -46, 8, 2]]",1,2,1,"[0, 7, 13, 19, 2, 9, 16]",65,instruct3,2
9,133509,mouselab,"[0.82, 0.08, 0.07, 0.03]",17,-112,"[[-53, -34, 27, 134, 136, -112], [-79, 135, -130, -211, -95, 108], [-110, -48, -101, 3, 91, 63], [-122, -101, 14, 19, -39, 70]]",5,0,1,"[0, 7, 13, 19, 9, 16, 15, 21, 5, 11, 17, 23, 6, 12, 2, 8, 14]",-129,test,0
9,147588,mouselab,"[0.26, 0.25, 0.13, 0.36]",14,-86,"[[-86, -152, -56, 73, 30, 60], [178, -222, -181, -37, -3, 87], [-114, -31, 107, -1, 4, -40], [62, 29, -36, -17, -56, 71]]",0,0,1,"[3, 9, 14, 20, 7, 12, 6, 4, 16, 22, 5, 11, 17, 23]",-100,test,1
9,152606,mouselab,"[0.67, 0.13, 0.16, 0.04]",2,94,"[[94, -75, 67, 56, 75, 27], [112, -67, -68, -59, -162, -102], [-11, -45, -51, 15, 65, -78], [24, -54, -32, -59, 381, 36]]",0,0,1,"[0, 6]",92,test,2
9,165980,mouselab,"[0.21, 0.74, 0.02, 0.03]",11,-32,"[[-87, -73, -26, -114, -111, 85], [-17, -56, 33, -32, 4, 6], [-32, 9, -93, -44, -37, -307], [-25, -155, -151, -33, 98, -15]]",3,1,1,"[2, 8, 15, 19, 13, 4, 10, 23, 17, 0, 6]",-43,test,3
9,179144,mouselab,"[0.13, 0.36, 0.28, 0.23]",12,83,"[[59, -103, 137, 26, -60, -71], [20, 61, -138, 48, 12, 113], [-110, -144, -22, 170, 67, -6], [-62, 4, -76, 173, 83, -98]]",4,3,1,"[1, 7, 12, 18, 3, 9, 14, 20, 5, 11, 16, 22]",71,test,4
9,185213,mouselab,"[0.21000000000000002, 0.53, 0.24, 0.02]",4,22,"[[172, -81, 6, -14, -36, 22], [-9, -48, -101, 18, -10, 136], [24, 221, 68, 202, -23, 52], [77, 22, -169, -15, 158, 32]]",5,0,1,"[5, 11, 17, 23]",18,test,5
9,198937,mouselab,"[0.11000000000000011, 0.3, 0.49, 0.1]",13,-84,"[[-7, -99, 70, 67, 23, -9], [-166, 270, 72, 95, -96, -5], [-13, -40, -84, -38, -24, -200], [-54, 26, -111, -123, 53, 14]]",2,2,1,"[0, 6, 13, 19, 3, 9, 15, 22, 16, 5, 11, 2, 8]",-97,test,6
