pid,rt,time_elapsed,trial_type,click_cost,payoff_index,probabilities,payoff_value,net_payoff,clicks,payoff_matrix,click_times,cost,choice_index,block,trial_index
8,1101.0,92449,mouselab,0,0,"[0.22, 0.22, 0.25, 0.31]",33,33,[],"[[31, 24, -49, -53, 33, -22], [17, 72, 9, -39, 57, 9], [-52, -36, -61, -39, 15, 107], [-8, 109, 79, 171, -24, 101]]",[],8,4,test,5
8,754.0,94105,mouselab,0,0,"[0.16, 0.19, 0.2, 0.45]",0,0,[],"[[46, -129, 29, 0, -78, -103], [-32, -120, 125, -84, -1, 40], [69, 55, 108, 169, -193, 8], [-8, -127, 97, 21, -70, 100]]",[],8,3,test,6
8,1074.0,96081,mouselab,0,0,"[0.34, 0.3, 0.16, 0.2]",-61,-61,[],"[[-184, 93, -61, 97, -57, -20], [53, 195, 45, -45, 46, 182], [73, -92, 72, -5, -13, -55], [-132, -100, -35, -47, 158, 112]]",[],8,2,test,7
8,825.0,97801,mouselab,0,1,"[0.17, 0.4, 0.23, 0.2]",71,71,[],"[[51, -21, -70, 26, -9, 118], [4, 16, 20, 71, 35, 0], [10, -156, -21, -41, -15, 29], [12, -74, -153, 8, -2, 31]]",[],8,3,test,8
8,1057.0,100384,mouselab,0,3,"[0.17, 0.29, 0.3, 0.24]",-31,-31,[],"[[105, -31, -104, -11, 58, 158], [20, 75, 26, 148, 129, 37], [9, -82, 168, -129, -14, 4], [-61, 22, 114, -89, -31, 72]]",[],8,4,test,9
10,120238.0,132503,mouselab,0,3,"[0.2, 0.2, 0.1, 0.5]",30,30,[],"[[-17, 7, -44, 1, -10, 59], [62, -111, 93, 26, 0, -54], [76, 75, -86, -28, -29, 66], [30, 172, 22, 71, 67, 143]]",[],8,0,instruct1,0
10,7628.0,143002,mouselab,0,3,"[0.2, 0.2, 0.1, 0.5]",172,172,[],"[[-17, 7, -44, 1, -10, 59], [62, -111, 93, 26, 0, -54], [76, 75, -86, -28, -29, 66], [30, 172, 22, 71, 67, 143]]",[],8,1,instruct1,1
10,2736.0,147442,mouselab,0,3,"[0.2, 0.2, 0.1, 0.5]",22,22,[],"[[-17, 7, -44, 1, -10, 59], [62, -111, 93, 26, 0, -54], [76, 75, -86, -28, -29, 66], [30, 172, 22, 71, 67, 143]]",[],8,2,instruct1,2
10,9154.0,170390,mouselab,0,1,"[0.14, 0.61, 0.14, 0.11]",133,133,[],"[[2, 100, 22, -13, 81, -64], [72, 133, 35, -19, 124, 92], [2, 171, 135, -3, 11, 82], [146, 176, -102, 33, -26, -46]]",[],8,1,instruct2,0
10,5418.0,178831,mouselab,0,1,"[0.04999999999999999, 0.61, 0.01, 0.33]",208,208,[],"[[-28, -116, 81, -6, 30, 94], [-15, -25, 178, -98, 8, 208], [122, -60, 89, -84, -111, 149], [-77, -31, 132, 34, -36, 152]]",[],8,5,instruct2,1
10,5121.0,186024,mouselab,0,0,"[0.7, 0.03, 0.11, 0.16]",74,74,[],"[[65, -170, 74, -50, -4, -60], [100, 48, 169, -130, 146, 3], [-141, 127, 148, 22, 81, -92], [-149, -82, 55, 28, 15, 34]]",[],8,2,instruct2,2
10,17882.0,207570,mouselab,24,1,"[0.15, 0.04, 0.29, 0.52]",-57,-81,"[17, 15, 13]","[[-49, -38, 99, 51, -95, -22], [91, 76, 9, -57, -15, -39], [-18, -31, 26, 239, 1, -62], [-49, -133, -119, 110, -89, -12]]","[11873, 13897, 15771]",8,3,instruct3,0
10,7384.0,222540,mouselab,24,2,"[0.04, 0.58, 0.33, 0.05]",-193,-217,"[0, 9, 23]","[[-135, 97, 44, -93, 103, 38], [100, 11, -26, 114, 130, -96], [20, 63, -38, -117, 13, -193], [18, 22, 14, -9, 78, -1]]","[1799, 3295, 4792]",8,5,instruct3,1
10,6280.0,230661,mouselab,24,3,"[0.03, 0.5, 0.05, 0.42]",19,-5,"[6, 7, 8]","[[-77, 110, -62, 21, 40, -30], [66, -102, 76, -55, -20, -101], [11, 84, 26, -51, 43, 20], [70, 19, 19, 166, -46, 49]]","[1678, 4087, 4991]",8,2,instruct3,2
10,18636.0,259106,mouselab,8,0,"[0.56, 0.01, 0.4, 0.03]",-72,-80,[0],"[[-77, -72, 6, 179, 6, 59], [63, -23, -269, 128, 72, -38], [-18, -3, 89, 43, 129, 84], [91, 87, 34, 135, -49, 152]]",[15426],8,1,test,0
10,1353.0,262506,mouselab,0,3,"[0.01, 0.01, 0.04, 0.94]",-48,-48,[],"[[147, -72, 218, 37, 62, -108], [-28, 5, 49, 96, -50, -7], [131, 16, 10, -1, 83, -20], [43, 96, -143, -48, -2, 76]]",[],8,3,test,1
10,1185.0,267155,mouselab,0,1,"[0.01, 0.47, 0.32, 0.2]",57,57,[],"[[7, 62, -87, 8, 9, -63], [-125, 57, -35, -55, 45, -6], [-34, 42, -6, 15, -27, 2], [9, 61, -9, -20, -69, -23]]",[],8,1,test,2
